-3307.7,-4061.8,-916.4,-2998.9,-5136.1,2793.1,12580,7379.4,-8115.6,-12386,-2006.9,4639.5,1057.5,1374,8978,6732.5,-9479.7,-16941,-2778.4,12647,9200.5,-1456.8,-1039.3,2420.9,-5515.2,-13309,-2696.1,14723,13410,-3465
-2873.5,2992.6,5580.7,2327.4,-3605.2,-6043.1,-1799.3,5893.8,10181,7199.6,92.269,-3758.1,154.21,8879.4,14629,12259,4378.6,-1020.1,1741.7,10462,17100,15519,7427.2,714.74,1827,9579.9,16395,15666,8054.5,677.08
-261.57,-3080.7,-5464.4,-6499.9,-5616.1,-2800.6,1353.2,5794.6,9323.5,10964,10289,7577,3756.4,134.62,-2002.1,-1795.5,902.24,5463.8,10665,15053,17394,17053,14190,9708.8,4978.9,1407.5,10.454,1108.6,4244.3,8341
-6932,4027.1,9940.4,-1218.9,-12025,-2779.9,12529,7276.6,-11120,-11371,7914.3,14186,-3479.7,-15113,-1291.3,13984,5410.2,-11134,-8055,7315.9,8791.3,-3499.7,-7686.4,607.3,5281.8,736.78,-2431.5,-366.39,55.972,-1398.3
4178,-313.66,1096.5,5959.7,847.01,-10826,-9980,4963,12585,3723.5,-4599,-1266,600.21,-7422.3,-9351.7,5325.6,17156,7022.1,-10420,-10984,-166.79,1607.3,-2789.8,3206,13268,6652.3,-11902,-15896,-686.82,10099
-4322.6,-3453.6,-193.19,4820.5,9819.2,12602,11568,6573.8,-837.17,-8013.8,-12346,-12443,-8758.4,-3330.5,1247.9,3124.2,2088.5,-383.31,-1979.2,-861.87,3240,8743.9,12909,13192,8583.5,248.15,-8877.9,-15362,-16810,-12921
758.77,-5195.2,-6104.4,164.11,6651.7,5585,-1596,-5422.8,-71.834,8907.6,11045,4070.6,-2815.7,-164.48,9734.1,15350,10193,1101.2,-96.229,8660,16963,14836,5157.9,72.257,5868.4,15245,16513,8087.4,231.37,2147.4
-5850.3,-313.66,709.69,-3670.7,-3348.9,5866.5,12897,6369.1,-7485.1,-12251,-4389.6,2764.4,226.32,-3213.2,3446.6,13464,10638,-5451,-16360,-10118,2594.1,5451.1,168.04,913.46,9538.3,11363,-1438.7,-15489,-13971,-161.98
1091,6380.2,8421.6,6584,2874,487.19,1364.7,4564.5,6776.9,4762.2,-2003.6,-10488,-15855,-14704,-7511.3,1557.7,7427,7561.3,3609.9,28.225,652.55,5721.3,11550,13148,7923.7,-2233.1,-12009,-16173,-13031,-5414.1
1245.3,-5963.5,-4010,4902,4992,-3758.6,-4297.3,5992,9267.5,8.3237,-3768.1,6485.2,13183,4717.2,-2440.9,6190.9,15853,9457.4,-540.39,5087.8,16634,13257,1555.3,3338,15302,15338,3411.8,1250.5,12114,15316
3023.6,-9038.5,-8538.5,3847.4,8935.6,1343.8,-3904.2,-505.64,-139.64,-5705.9,-2996.8,9684.8,11524,-5264.5,-16763,-4608.9,12780,10447,-3633.9,-6835.9,-718.51,-1074.4,-4310.8,3153.3,12500,4160,-13767,-13690,5629.6,15639
